BASE_ID,avg_SAND,avg_SILT,avg_CLAY,LPSA_texture_status,lab_texture_class
250265,74.5,14.715,10.785,ALL_CLASS_AGREE,SL
250268,21.7,5.299999999999997,73,ALL_CLASS_AGREE,C
250269,26.8,4.550000000000004,68.65,ALL_CLASS_AGREE,C
250272,70.45,14.299999999999997,15.25,ALL_CLASS_AGREE,SL
250275,26.4,5.049999999999997,68.55000000000001,ALL_CLASS_AGREE,C
250308,82.2,11.534999999999997,6.265000000000001,ALL_CLASS_AGREE,LS
250309,57.8,13.899999999999999,28.3,ALL_CLASS_AGREE,SCL
250310,60.15,14.9,24.950000000000003,ALL_CLASS_AGREE,SCL
250311,66.05000000000001,15.799999999999995,18.15,ALL_CLASS_AGREE,SL
250312,73.25,14.4,12.35,ALL_CLASS_AGREE,SL
250315,85.55,8.910000000000002,5.54,ALL_CLASS_AGREE,LS
250318,29.05,5.650000000000006,65.3,ALL_CLASS_AGREE,C
250319,38.8,7.149999999999999,54.05,ALL_CLASS_AGREE,C
250320,68.05,19.450000000000003,12.5,ALL_CLASS_AGREE,SL
250321,49.099999999999994,13.700000000000003,37.2,ALL_CLASS_AGREE,SC
250322,35.65,9.299999999999994,55.05,ALL_CLASS_AGREE,C
250323,34.45,7.049999999999997,58.5,ALL_CLASS_AGREE,C
250325,52.8,9.650000000000002,37.55,ALL_CLASS_AGREE,SC
250327,86.6,8.555,4.845000000000001,ALL_CLASS_AGREE,LS
250328,76.7,14.574999999999996,8.725000000000001,ALL_CLASS_AGREE,SL
250329,73.35,14.95,11.7,ALL_CLASS_AGREE,SL
250330,72.7,13.749999999999996,13.55,ALL_CLASS_AGREE,SL
250331,42.5,7.949999999999999,49.55,ALL_CLASS_AGREE,C
250332,83.85,10.5,5.65,ALL_CLASS_AGREE,LS
250333,60.2,12.950000000000001,26.85,ALL_CLASS_AGREE,SCL
250334,59.400000000000006,13.149999999999999,27.45,ALL_CLASS_AGREE,SCL
250335,49,10.2,40.8,ALL_CLASS_AGREE,SC
250336,42.05,8.000000000000004,49.95,ALL_CLASS_AGREE,C
250337,76.75,14.955,8.295,ALL_CLASS_AGREE,SL
250338,83.35,10.19,6.46,ALL_CLASS_AGREE,LS
250339,74.15,16.46,9.39,ALL_CLASS_AGREE,SL
250340,54.7,14.649999999999997,30.65,ALL_CLASS_AGREE,SCL
250341,47.8,13.05,39.15,ALL_CLASS_AGREE,SC
250342,76.25,8.65,15.1,ALL_CLASS_AGREE,SL
250343,92.3,3.900000000000003,3.8,ALL_CLASS_AGREE,S
250344,79.5,13.225,7.275,ALL_CLASS_AGREE,LS
250345,49.45,13.850000000000001,36.7,ALL_CLASS_AGREE,SC
250346,48.05,14.149999999999999,37.8,ALL_CLASS_AGREE,SC
250347,49.6,11.8,38.599999999999994,ALL_CLASS_AGREE,SC
250348,55.05,9.7,35.25,ALL_CLASS_AGREE,SC
250349,85.45,9.149999999999999,5.4,ALL_CLASS_AGREE,LS
250350,67.19999999999999,15.100000000000005,17.7,ALL_CLASS_AGREE,SL
250351,62.9,14.400000000000002,22.7,ALL_CLASS_AGREE,SCL
250352,54.2,11.850000000000001,33.95,ALL_CLASS_AGREE,SCL
250353,57.6,11.1,31.299999999999997,ALL_CLASS_AGREE,SCL
250354,83.9,9.590000000000002,6.51,ALL_CLASS_AGREE,LS
250355,56.3,13.2,30.5,ALL_CLASS_AGREE,SCL
250356,58.45,14.45,27.1,ALL_CLASS_AGREE,SCL
250357,57.25,10.350000000000001,32.4,ALL_CLASS_AGREE,SCL
250358,60.349999999999994,9.800000000000002,29.85,ALL_CLASS_AGREE,SCL
250359,87.05,7.810000000000002,5.140000000000001,ALL_CLASS_AGREE,LS
250360,69,13.45,17.55,ALL_CLASS_AGREE,SL
250361,61.3,13.300000000000002,25.4,ALL_CLASS_AGREE,SCL
250362,58.4,12.400000000000002,29.2,ALL_CLASS_AGREE,SCL
250363,56.9,9.750000000000004,33.349999999999994,ALL_CLASS_AGREE,SCL
250364,51.9,9.000000000000004,39.099999999999994,ALL_CLASS_AGREE,SC
250365,89.05,6.840000000000003,4.109999999999999,ALL_CLASS_AGREE,S
250366,62.349999999999994,12.900000000000002,24.75,ALL_CLASS_AGREE,SCL
250367,51.3,11.5,37.2,ALL_CLASS_AGREE,SC
250369,85.1,9.474999999999998,5.425,ALL_CLASS_AGREE,LS
